=== #18 contactsd unconsumed group-change backlog ===
taken: 2026-08-18 15:44:52 +0800   build: 26A5406e
query: select count(*) from ACHANGE where ZENTITY=19;   (per Sources/<uuid>/AddressBook-v22.abcddb)
recorded: beta3 53,686 -> beta5(08-11) 76,366  (worst source 17,918 -> 23,849)

  14028166-A347-4393-A26E-34060814D045     11275
  16EF8EE6-B4EF-4539-BB56-E822E1ED8444     0
  387349B6-8964-466B-936B-7C2B6987F6FE     11080
  40AC609A-77C9-4543-93C2-8A788B9679ED     27202
  50E9CB89-9D54-4BF5-9C72-3620AB23A2F1     11063
  74CA3725-47AC-4550-9D84-B78F0DA5C174     1
  7DCF9FE2-62D6-43AE-A309-C3C65E3BD0A7     0
  93C7BA0C-984A-464E-889A-6E750BF27199     11062
  A4BF394D-F41F-440E-88B7-B5AF35779108     0
  A78AD44D-26D2-4CE3-A945-41D4E0E7A12B     11065
  B5146F88-A00F-4882-823C-56A47886E8A4     0
  C22F8DA4-D902-4EDF-BB4B-CA69994F566B     7461

  TOTAL unconsumed group change rows: 90209
